depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,lineage_4,camptothecin (GDSC2:1003),vinblastine (GDSC2:1004),cisplatin (GDSC2:1005),cytarabine (GDSC2:1006),docetaxel (GDSC2:1007),gefitinib (GDSC2:1010),navitoclax (GDSC2:1011),vorinostat (GDSC2:1012),nilotinib (GDSC2:1013),olaparib (GDSC2:1017),axitinib (GDSC2:1021),AZD7762 (GDSC2:1022),afatinib (GDSC2:1032),PLX-4720 (GDSC2:1036),NU-7441 (GDSC2:1038),doramapimod (GDSC2:1042),Wee1 Inhibitor (GDSC2:1046),nutlin-3 (GDSC2:1047),mirin (GDSC2:1048),PD-173074 (GDSC2:1049),ZM-447439 (GDSC2:1050),alisertib (GDSC2:1051),Ro-3306 (GDSC2:1052),MK-2206 (GDSC2:1053),palbociclib (GDSC2:1054),NVP-BEZ235 (GDSC2:1057),GDC-0941 (GDSC2:1058),AZD8055 (GDSC2:1059),PD-0325901 (GDSC2:1060),obatoclax (GDSC2:1068),5-fluorouracil (GDSC2:1073),dasatinib (GDSC2:1079),paclitaxel (GDSC2:1080),crizotinib (GDSC2:1083),sirolimus (GDSC2:1084),sorafenib (GDSC2:1085),BI-2536 (GDSC2:1086),irinotecan (GDSC2:1088),oxaliplatin (GDSC2:1089),BMS-536924 (GDSC2:1091),PF-4708671 (GDSC2:1129),APR-246 (GDSC2:1131),erlotinib (GDSC2:1168),niraparib (GDSC2:1177),MK-1775 (GDSC2:1179),dinaciclib (GDSC2:1180),gemcitabine (GDSC2:1190),bortezomib (GDSC2:1191),GSK269962 (GDSC2:1192),SB-505124 (GDSC2:1194),tamoxifen (GDSC2:1199),YK-4-279 (GDSC2:1239),FK-866 (GDSC2:1248),BMS-345541 (GDSC2:1249),AZ960 (GDSC2:1250),talazoparib (GDSC2:1259),trametinib (GDSC2:1372),dabrafenib (GDSC2:1373),temozolomide (GDSC2:1375),ruxolitinib (GDSC2:1507),linsitinib (GDSC2:1510),epirubicin (GDSC2:1511),pevonedistat (GDSC2:1529),AZD8931 (GDSC2:1549),uprosertib (GDSC2:1553),LCL-161 (GDSC2:1557),lapatinib (GDSC2:1558),NVP-AUY922 (GDSC2:1559),alpelisib (GDSC2:1560),taselisib (GDSC2:1561),SCH772984 (GDSC2:1564),leflunomide (GDSC2:1578),entinostat (GDSC2:1593),OSI-027 (GDSC2:1594),LGK-974 (GDSC2:1598),VE-822 (GDSC2:1613),WZ4003 (GDSC2:1614),AZD5582 (GDSC2:1617),GSK2606414 (GDSC2:1618),PCI-34051 (GDSC2:1621),wnt-c59 (GDSC2:1622),I-BET-762 (GDSC2:1624),apabetalone (GDSC2:1625),OTX015 (GDSC2:1626),ML323 (GDSC2:1629),GS-9973 (GDSC2:1630),PRT062607 (GDSC2:1631),AGI-6780 (GDSC2:1634),AZD4547 (GDSC2:1786),ibrutinib (GDSC2:1799),Acetalax (GDSC2:1804),oxaliplatin (GDSC2:1806),carmustine (GDSC2:1807),topotecan (GDSC2:1808),teniposide (GDSC2:1809),mitoxantrone (GDSC2:1810),dactinomycin (GDSC2:1811),fludarabine (GDSC2:1813),nelarabine (GDSC2:1814),fulvestrant (GDSC2:1816),vincristine (GDSC2:1818),docetaxel (GDSC2:1819),podophyllotoxin (GDSC2:1825),Dihydrorotenone (GDSC2:1827),Elephantin (GDSC2:1835),Sinularin (GDSC2:1838),Sabutoclax (GDSC2:1849),OF-1 (GDSC2:1853),KRAS (G12C) Inhibitor-12 (GDSC2:1855),BDP-00009066 (GDSC2:1866),buparlisib (GDSC2:1873),BVD-523 (GDSC2:1908),venetoclax (GDSC2:1909),ABT-737 (GDSC2:1910),dactinomycin (GDSC2:1911),GSK2110183 (GDSC2:1912),AZD3759 (GDSC2:1915),AZD5363 (GDSC2:1916),AZD6738 (GDSC2:1917),AZD8186 (GDSC2:1918),osimertinib (GDSC2:1919),cediranib (GDSC2:1922),GDC-0068 (GDSC2:1924),GDC-0810 (GDSC2:1925),GNE-317 (GDSC2:1926),I-BRD9 (GDSC2:1928),Telomerase Inhibitor IX (GDSC2:1930),MIRA-1 (GDSC2:1931),NVP-ADW742 (GDSC2:1932),P22077 (GDSC2:1933),savolitinib (GDSC2:1936),UMI-77 (GDSC2:1939),WIKI4 (GDSC2:1940),YM-155 (GDSC2:1941),WEHI-539 (GDSC2:1997),BPD-00008900 (GDSC2:1998),foretinib (GDSC2:2040),BIBR-1532 (GDSC2:2043),Pyridostatin (GDSC2:2044),AMG-319 (GDSC2:2045),MK-8776 (GDSC2:2046),BVD-523 (GDSC2:2047),vinorelbine (GDSC2:2048),VX-11e (GDSC2:2096),uprosertib (GDSC2:2106),AZ6102 (GDSC2:2109),GSK591 (GDSC2:2110),VE-821 (GDSC2:2111),AZD6482 (GDSC2:2169),AT13148 (GDSC2:2170),BMS-754807 (GDSC2:2171),JQ1-(+) (GDSC2:2172),Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150,Column151,Column152,Column153,Column154,Column155,Column156,Column157,Column158,Column159
ACH-000019,MCF7,Breast,Breast Carcinoma,ERpos HER2neg,Luminal,,,,,,,,1.909676891,3.102289995,,,,,,2.721610374,,,,,,,,,,,,,,,,,,,,,3.037757853,1.413577552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08568163,,,,,,,,,,,3.137549592,,,,,,,,,,,,,-1.829822003,,,,,,,,,,,,,-3.997142966,,,-0.307571952,,,2.754511797,2.038346738,,,,-3.90025253,,,,,,,,,,,,0.378765814,,,,,,,,,,2.263340131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000111,HCC1187,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,,,,,,,,,,,,,,,,,,,5.450250198,,,,,,,,,,,2.066763325,,,,,,,,,,,,,,,,-6.065295476,,,,,,,,,-1.371543669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.720544982,,,,,1.52412744,,,,,-6.683694982,-6.580095109,-2.515790717,-3.42949344,,,-3.124553091,,,3.289283259,,,,,-5.50753618,,,,,,,,,,,,,,,,,2.989868902,,-3.255127999,,,-0.02432002,,,,,,-8.217003278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000117,EFM192A,Breast,Breast Adenocarcinoma,ERpos HER2pos,HER2 Amp,,,,,,,,2.586274691,,,,,,,,,,,,,,,,,,,3.168666211,,,,,,,,,,,,,,,,,,,-4.879345092,,-7.769650676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.363300665,,,,,,,,,,,,,1.252892853,,,,-4.956413671,,,,,,,,,,0.356928947,,,,,,,,,-4.926132997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000147,T47D,Breast,Breast Ductal Carcinoma,ERpos HER2neg,Luminal,,,,,,,2.947962599,2.368427125,3.205299929,,,,3.112684327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.649045418,,,,,,,,,,,,,,,,,,,,-0.388195421,,,,,,,,,,,,,,,,3.213090469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.319550086,,,,1.075331094,,,,-6.816604281,,,,,,,2.974216931,,,0.473747361,,,,3.309872156,,,,,-3.834740189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000148,HS578T,Breast,Breast Carcinoma,ERneg HER2neg,Basal B,,,,,-9.670420842,,0.427784491,,,,,0.290950688,2.256177231,,0.945240601,,0.792719218,,5.896662508,,2.808057892,,,,,,0.870091373,-1.757184793,,1.521971119,,-3.319810931,-8.036991783,,,2.96725279,,,,2.947181347,,4.549037508,,,-0.022968858,-6.031826786,,,,,,1.139703565,-6.816708708,,1.035976607,,,,,,,,,,,,2.350488854,,,,,,1.959798703,,,,,3.165879887,,,,,,,,,,,,,,,,,0.14864193,-0.379479468,,,,,-6.620903287,-8.275122662,-3.576163347,,4.206728894,,-1.638328496,,,,0.18144527,,,,-5.125604919,,,,,,,1.880683009,,,1.475456497,,-0.971879876,,,,,1.836572193,,-0.952974126,,,1.232313794,,,,,,-7.004929525,,,2.443283215,,,,,,0.090720773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000196,HCC1599,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,,,,,,,,0.477496108,,,,-1.942826085,,,,,0.769548718,,,,,,,,,,,,,,,,,3.006844634,,,-6.426034262,,,,,,,,0.086449921,,-5.131918481,-6.699324484,,,,,,,,,,,,,,,,,3.050696809,,,,,,,,-0.490166713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.610870476,,,,0.101266608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000212,CAL120,Breast,Breast Carcinoma,ERneg HER2neg,Basal B,,,,,,,0.46220503,3.010375266,3.09725867,,,1.744019897,,,,,,,6.606464691,,,,,,,-4.992131258,2.616182959,-3.021369114,,1.885452839,,,,,,,,,,3.029589706,,4.803538881,,,3.049821157,-3.602786074,,,,,,,,,,,,,,,,-0.90813308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.405383111,1.466916098,,,,,,,-0.521195446,,,,,0.802425122,,,3.099406482,1.581124393,,,0.573115777,-6.733054474,,,,,,,3.231741555,,,-1.114506954,,0.513236094,,,,,2.297832724,,,-1.17495281,,1.194149855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000223,HCC1937,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,,,,,,,2.732648602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.532292676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.234757526,,,,,,,,,,,,-4.736150695,,,2.108557857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000248,AU565,Breast,Breast Adenocarcinoma,ERneg HER2pos,HER2 Amp,,,,,,,2.895736072,,2.95366258,,,,0.412219916,,3.056304377,,,,,,3.174178406,,,,,,,,,2.4159452,,,,,,,,,,,,4.579159564,,,,-4.743563028,-4.604456102,,,,,,,2.641344037,,,,,,,,-0.847616187,,,,,,,,,,,0.77305128,,,,,2.894807086,,,,,,,,,,,,,,,,-2.290318514,-0.621064215,-0.736537551,,,,,-5.058964742,-7.196817042,-3.99042133,,,,,,,3.010354716,2.699555226,,,,-5.021202856,,,,,,-0.093254124,3.207562216,,,0.48848375,,,,,,,,,-4.217260668,,,2.682218351,,,,,,-8.579479905,,,3.000448502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000258,DU4475,Breast,Breast Carcinoma,ERneg HER2neg,Luminal HER2 Amp,-5.350877034,-4.77912505,,,-8.065552995,,,,,,,-0.895154701,,-1.23200653,3.254693166,,,1.468146816,6.053583983,,2.912637563,,,,,-2.054364993,,,-8.115697776,-0.052494678,,,,2.07193844,,,-4.263159928,1.138456649,,2.691325686,,,,,0.311495939,-6.036151606,-3.974312759,,,,3.116735854,-0.091892161,,,0.826521029,0.510617406,,,,,3.131623158,-4.85884444,-5.061078611,,,,,,,,-5.173780746,,-1.044348552,,,,2.834092696,,,,,,,,,,2.804540334,,,,,,,-2.914616384,-4.025025476,-4.890636182,-6.669786408,,,,-1.976559607,,-2.41095112,,,,-3.367886041,,3.018665029,2.306893043,0.857736453,-1.517325321,,-3.82995797,,,,,1.47740603,,,1.977194242,,,1.443791219,,-1.652318337,,2.448915618,,,2.100914374,,-3.620850167,-1.475890542,,0.175494152,,,,,-2.015416968,,-2.009106245,2.847642956,1.820510889,,3.259763125,,,,1.047962165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000276,HCC38,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,,,,,,,0.535021499,,,,,1.757494287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.296017671,-2.165036135,-4.796191995,,,,,,,,,,,,,,,,,,,,3.138620919,,,,,,,,,,,2.696585254,,,,,,,,,,,,,,,,1.21519987,,,,,,,,,,,,,0.541548249,,,,,,,1.61193402,-6.503790023,,,,,,,,,,,,,,,,,3.123742151,,-5.256929609,,,2.933433904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000277,HCC1419,Breast,Breast Ductal Carcinoma,ERpos HER2pos,HER2 Amp,,,,,,,3.005153127,2.650830693,2.734154529,,,,,,,3.228371969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.650482434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.629883976,,,,,,,,,,,,,-0.963019386,,,,,,,,,,,,,,,,-0.733831213,,,,,,,,,,,,,,,,,,,,1.723173956,,,,,,,-0.923427954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000288,BT549,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal B,,,,,,,,,2.208075483,,,,3.017258744,,,,2.376876479,,,,,,,,,,,,,,,,-5.25272195,2.846187051,,,2.04680654,,,3.182607576,,,,,,,,-7.56970766,,,,,,,,,,,,,,-0.797527414,,,,,,,,,,,,,,,,3.163255574,,,,,,,,,,,,,,,,,,,,0.261349925,,,,,,,4.298515025,,1.73746208,,,2.134735878,,,,,-5.118570058,,,,,,,2.830796721,,,,,,,,,,2.908747878,,-2.781316435,,,3.071930649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000330,EFM19,Breast,Breast Ductal Carcinoma,ERpos HER2neg,Luminal,,,,,,,,1.418598424,,,,,,,,3.303814088,3.131913821,,6.61057383,,,,,,,,,,,2.590629787,,,-5.565804561,,,,2.261642138,,,,,3.905496939,,,,,,-7.344701195,,,,1.852692834,-5.714073778,,,,,,,,,,,,,,,,,,,,,,,,,3.002570952,,,,,,,,,,,,,,,,,,,,,,,-3.104460675,-2.29703817,-0.359458987,,,,,,,,,,,,-4.103981459,,,,,,,,,,-0.750156643,,0.180657831,,,,,3.228733953,,-5.966233748,,,2.921528152,,,,,,-5.830145267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000349,HCC1500,Breast,Breast Ductal Carcinoma,ERpos HER2neg,Luminal,,,,,,,-2.691921774,2.523976627,,,,,,,,,,,,,,,,,,,,,,2.176084706,,,,,,2.894885622,2.619552076,,,,,,,,,,,,,,,,,,,,,,,,,-0.327613269,,,,,,,,,,,1.413067983,,,,3.268891466,2.238037929,,,,,,,,,3.200364704,,,,-1.431815982,,,0.436510588,,,,,,,-1.474714688,,,,,,-1.316871391,,,,,,-4.367779367,-3.400837109,-6.27971105,,,,,,,2.421998127,,,,,1.80908492,,2.581893844,,,,,-0.82915485,,,,,,,,,,,,2.833473338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000352,HCC1428,Breast,Breast Carcinoma,ERpos HER2neg,Luminal,,,,,,,,,2.311989895,,,,,,,,,,,,,,3.2000696,,,,,,,1.952119719,,,,3.19441543,,,2.204118573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.218659963,,,,,,1.185250316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.235670331,,,,,,,2.680815043,,,,,,,,3.291687736,,,,,,,2.654415562,,,,,-5.861735978,,,3.04614131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000374,HCC1143,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,,,,,,,,,,,,,,,,,,,,,,,,,,-2.528172746,,,,,,,,,,,1.692175406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.031564626,,,,,,,,,0.065978564,,2.003768682,,,,,,,,,,,,,,,,,,0.961032597,,,,,,,,,,,,,,,1.711024611,,,,-6.37818152,,,,1.555872908,,,,,,0.966924186,,,,,,,2.941417679,,-2.618590133,,,2.110452621,,,,,,,,,,,2.778561497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000536,BT20,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal A,,,,,,,3.229333361,,,,,,,,3.246881212,,,,6.626831953,,,,,,,,1.621340382,,,3.203730814,,,-5.050200501,,,,,,,,,,,,,-4.940134173,,-6.437046679,,,,,,,,,,,,,,,,,,,,,2.637898073,-0.747245441,,,,,,,,,,,,,,,,,,,,,0.632605256,,,,,,,0.780632734,,,,,,-3.320304152,,,1.492644333,,,,0.376631828,,,,-5.720396029,,,,,,,,,,,,2.003817117,,,,,,,-5.785866702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000554,UACC893,Breast,Breast Ductal Carcinoma,ERneg HER2pos,HER2 Amp,,,,,,,,2.221613591,3.057993797,,,,-4.016442074,,,,,,,,,,,0.097254099,,,-0.232871831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.962466452,-0.026497164,,-0.444464591,,1.182308706,-3.343074798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.222132399,,,,,,,,,,,,1.451105686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000568,UACC812,Breast,Breast Ductal Carcinoma,ERpos HER2pos,Luminal,,,,,,,2.883015968,2.191881288,,,,,,,,,,,,,,,,,,,1.398241422,,,,,,,,,2.090087001,,,,,,,,,,,,,,,,,,,,2.206707193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.721473944,,,,,,,2.849992162,,,,,3.16721824,,,,,3.219386939,,-5.862793853,,,3.037977907,,,,,,,,,3.315740921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000573,MDAMB436,Breast,Breast Carcinoma,ERneg HER2neg,Basal B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.284522205,,,,,,,,,,,,,,,,,,,,1.366550204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000621,MDAMB157,Breast,Breast Ductal Carcinoma,ERneg HER2neg,Basal B,,-7.612706735,,,,,,3.207493853,,,,,,,,,,,6.628526131,,,,,,,,,,,0.573138708,,,,,,,,,,,,,,,2.156536096,-5.090956031,-1.530506,-7.254931734,,,,,-6.659232274,,,,,,,,,-1.185906358,-0.926029827,,,,,,,,,6.63461234,,,,2.17933326,,,,,,,,,4.307074607,,,,,,,,,0.45102213,-0.389213045,,,,,,,,-1.183623234,-4.187304411,,,-1.662386834,2.016445484,,,2.466324455,,,,-6.657025677,,,,0.049377791,,,,,,,,1.695550442,,,,,,,-4.561351463,,,2.21177336,,,,,-0.110265507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
